Date,wf,mf,sf,IHT,IH,wfy,sqhdd1,dhdd1,dhdd13,hdd1t,Troloff,mx2,mn4,dcy,c7,cy,c
2/12/2011,0.942252607,0.872696512,1,0,0,0.945372575,3.802630668,-0.93,-0.804357,13.86,1.04,1.296,0.005337948,0,2286.4639,2318.6388,2273.8998
2/13/2011,1,0.872696512,1,0,0,0.942252607,3.722902094,-0.6,-0.216,14.09,1.64,1.00489,1.00E-07,0,2436.6889,2273.8998,2395.297
2/14/2011,0.965849858,0.872696512,1,0,0,1,3.753664876,0.23,0.012167,13.04,1.41,0.87025,2.86E-07,0,2342.1964,2395.297,2362.9472
2/15/2011,0.970642056,0.872696512,1,0,0,0.965849858,3.611094017,-1.05,-1.157625,14.53,2.46,1.296,0.003035958,0,2335.0139,2362.9472,2354.5824
2/16/2011,0.950674824,0.872696512,1,0,0,0.970642056,3.811823711,1.49,3.307949,15.18,0.97,0.71289,0.000268739,0,2165.5285,2354.5824,2387.6817
2/17/2011,0.961823283,0.872696512,1,0,0,0.950674824,3.896151948,0.65,0.274625,12.9,0.32,0.46225,0.0050625,0,2314.76,2387.6817,2396.1946
2/18/2011,0.945372575,0.872696512,1,0,0,0.961823283,3.591656999,-2.28,-11.852352,14.67,2.6,2.14369,0.00010556,0,2318.6388,2396.1946,2296.3242
2/19/2011,0.942252607,0.872696512,1,0,0,0.945372575,3.8301436,1.77,5.545233,13.89,0.83,0.256,6.25E-09,0,2273.8998,2296.3242,2405.1397
2/20/2011,1,0.872696512,1,0,0,0.942252607,3.726929031,-0.78,-0.474552,13.65,1.61,0.289,0.005337948,0,2395.297,2405.1397,2447.5211
2/21/2011,0.965849858,0.872696512,1,0,0,1,3.69459064,-0.24,-0.013824,13.29,1.85,0.46225,0.005772006,0,2362.9472,2447.5211,2427.2234
2/22/2011,0.970642056,0.872696512,1,0,0,0.965849858,3.645545227,-0.36,-0.046656,13.89,2.21,0.88804,0.004420506,0,2354.5824,2427.2234,2441.0102
2/23/2011,0.950674824,0.872696512,1,0,0,0.970642056,3.726929031,0.6,0.216,13.81,1.61,0.43264,0.001749006,0,2387.6817,2441.0102,2421.1539
2/24/2011,0.961823283,0.872696512,1,0,0,0.950674824,3.716180835,-0.08,-0.000512,14.16,1.69,0.529,0.001310796,0,2396.1946,2421.1539,2441.8631
2/25/2011,0.945372575,0.872696512,1,0,0,0.961823283,3.762977544,0.35,0.042875,14.73,1.34,0.42025,0.00015753,0,2296.3242,2441.8631,2416.2803
2/26/2011,0.942252607,0.872696512,1,0,0,0.945372575,3.837968212,0.57,0.185193,13.59,0.77,0.144,1.50E-05,0,2405.1397,2416.2803,2440.4043
2/27/2011,1,0.872696512,1,0,0,0.942252607,3.686461718,-1.14,-1.481544,13.64,1.91,0.784,0.001082432,0,2447.5211,2440.4043,2421.8734
2/28/2011,0.965849858,0.872696512,1,0,0,1,3.693237063,0.05,0.000125,13.26,1.86,0.676,0.001630474,0,2427.2234,2421.8734,2404.8909
3/1/2011,0.970642056,0.736546024,0.500416191,0,0,0.965849858,3.641428291,-0.38,-0.054872,12.74,2.24,1.089,0.001938778,0,2441.0102,2404.8909,2387.689
3/2/2011,0.950674824,0.736546024,0.500416191,1,0,0.970642056,3.56931366,-0.52,-0.140608,12.62,2.76,0.93025,0.03782742,0,2421.1539,2387.689,2337.9371
3/3/2011,0.961823283,0.736546024,0.500416191,0,9.083712203,0.950674824,3.552463934,-0.12,-0.001728,13.54,2.88,2.601,0.000178506,0,2441.8631,2337.9371,2289.6675
3/4/2011,0.945372575,0.736546024,0.500416191,0,0,0.961823283,3.679673899,0.92,0.778688,14.37,1.96,0.97969,0.000370151,0,2416.2803,2289.6675,2333.7236
3/5/2011,0.942252607,0.736546024,0.500416191,0,0,0.945372575,3.790778284,0.83,0.571787,10.43,1.13,1.156,0.001749006,0,2440.4043,2333.7236,2278.713
3/6/2011,1,0.736546024,0.500416191,0,0,0.942252607,3.229551052,-3.94,-61.162984,7.98,5.07,5.11225,0.078861504,0,2421.8734,2278.713,2219.104
