DT,Temp,cy,Msin,Mcos,Wsin,Wcos,Hsin,Hcos,c
2020-02-13 19:00:00,5.121903996,,0.8660254037844386,0.5000000000000001,0.43388373911755823,-0.900968867902419,-0.9659258262890684,0.2588190451025203,204.59
2020-02-13 20:00:00,4.476365788,204.59,0.8660254037844386,0.5000000000000001,0.43388373911755823,-0.900968867902419,-0.8660254037844386,0.5000000000000001,233.65
2020-02-13 21:00:00,2.2,233.65,0.8660254037844386,0.5000000000000001,0.43388373911755823,-0.900968867902419,-0.7071067811865477,0.7071067811865474,233.72
2020-02-13 22:00:00,2.972068418,233.72,0.8660254037844386,0.5000000000000001,0.43388373911755823,-0.900968867902419,-0.5000000000000004,0.8660254037844384,233.59
2020-02-13 23:00:00,2.227574619,233.59,0.8660254037844386,0.5000000000000001,0.43388373911755823,-0.900968867902419,-0.25881904510252157,0.9659258262890681,229.17
2020-02-14 00:00:00,1.4,229.17,0.8660254037844386,0.5000000000000001,-0.433883739117558,-0.9009688679024191,0.0,1.0,222.11
2020-02-14 01:00:00,1.028897404,222.11,0.8660254037844386,0.5000000000000001,-0.433883739117558,-0.9009688679024191,0.25881904510252074,0.9659258262890683,220.06
2020-02-14 02:00:00,0.654430805,220.06,0.8660254037844386,0.5000000000000001,-0.433883739117558,-0.9009688679024191,0.49999999999999994,0.8660254037844387,220.06
2020-02-14 03:00:00,1.0,220.06,0.8660254037844386,0.5000000000000001,-0.433883739117558,-0.9009688679024191,0.7071067811865476,0.7071067811865476,220.06
2020-02-14 04:00:00,0.448669937,220.06,0.8660254037844386,0.5000000000000001,-0.433883739117558,-0.9009688679024191,0.8660254037844386,0.5000000000000001,220.06
2020-02-14 05:00:00,0.617311199,220.06,0.8660254037844386,0.5000000000000001,-0.433883739117558,-0.9009688679024191,0.9659258262890683,0.25881904510252074,220.06
2020-02-14 06:00:00,1.6,220.06,0.8660254037844386,0.5000000000000001,-0.433883739117558,-0.9009688679024191,1.0,6.123233995736766e-17,220.06
2020-02-14 07:00:00,1.423635322,220.06,0.8660254037844386,0.5000000000000001,-0.433883739117558,-0.9009688679024191,0.9659258262890683,-0.25881904510252063,220.06
2020-02-14 08:00:00,2.009117618,220.06,0.8660254037844386,0.5000000000000001,-0.433883739117558,-0.9009688679024191,0.8660254037844387,-0.4999999999999998,220.06
2020-02-14 09:00:00,1.8,220.06,0.8660254037844386,0.5000000000000001,-0.433883739117558,-0.9009688679024191,0.7071067811865476,-0.7071067811865475,220.06
2020-02-14 10:00:00,3.377539918,220.06,0.8660254037844386,0.5000000000000001,-0.433883739117558,-0.9009688679024191,0.49999999999999994,-0.8660254037844387,209.58
2020-02-14 11:00:00,4.085870676,209.58,0.8660254037844386,0.5000000000000001,-0.433883739117558,-0.9009688679024191,0.258819045102521,-0.9659258262890682,208.89
2020-02-14 12:00:00,5.1,208.89,0.8660254037844386,0.5000000000000001,-0.433883739117558,-0.9009688679024191,1.2246467991473532e-16,-1.0,375.82
2020-02-14 13:00:00,5.364720375,375.82,0.8660254037844386,0.5000000000000001,-0.433883739117558,-0.9009688679024191,-0.2588190451025208,-0.9659258262890683,422.9
2020-02-14 14:00:00,5.867773634,422.9,0.8660254037844386,0.5000000000000001,-0.433883739117558,-0.9009688679024191,-0.4999999999999997,-0.8660254037844388,421.16
2020-02-14 15:00:00,6.3,421.16,0.8660254037844386,0.5000000000000001,-0.433883739117558,-0.9009688679024191,-0.7071067811865471,-0.7071067811865479,421.04
2020-02-14 16:00:00,6.465473699,421.04,0.8660254037844386,0.5000000000000001,-0.433883739117558,-0.9009688679024191,-0.8660254037844385,-0.5000000000000004,422.63
2020-02-14 17:00:00,6.52321956,422.63,0.8660254037844386,0.5000000000000001,-0.433883739117558,-0.9009688679024191,-0.9659258262890683,-0.25881904510252063,419.97
2020-02-14 18:00:00,6.0,419.97,0.8660254037844386,0.5000000000000001,-0.433883739117558,-0.9009688679024191,-1.0,-1.8369701987210297e-16,419.75
2020-02-14 19:00:00,6.119077277,419.75,0.8660254037844386,0.5000000000000001,-0.433883739117558,-0.9009688679024191,-0.9659258262890684,0.2588190451025203,426.1
2020-02-14 20:00:00,5.668143035,426.1,0.8660254037844386,0.5000000000000001,-0.433883739117558,-0.9009688679024191,-0.8660254037844386,0.5000000000000001,435.66
2020-02-14 21:00:00,5.5,435.66,0.8660254037844386,0.5000000000000001,-0.433883739117558,-0.9009688679024191,-0.7071067811865477,0.7071067811865474,437.61
2020-02-14 22:00:00,4.37215347,437.61,0.8660254037844386,0.5000000000000001,-0.433883739117558,-0.9009688679024191,-0.5000000000000004,0.8660254037844384,435.74
2020-02-14 23:00:00,3.603021829,435.74,0.8660254037844386,0.5000000000000001,-0.433883739117558,-0.9009688679024191,-0.25881904510252157,0.9659258262890681,432.94
2020-02-15 00:00:00,2.2,432.94,0.8660254037844386,0.5000000000000001,-0.9749279121818236,-0.2225209339563146,0.0,1.0,427.94
2020-02-15 01:00:00,2.109786301,427.94,0.8660254037844386,0.5000000000000001,-0.9749279121818236,-0.2225209339563146,0.25881904510252074,0.9659258262890683,418.92
2020-02-15 02:00:00,1.540037575,418.92,0.8660254037844386,0.5000000000000001,-0.9749279121818236,-0.2225209339563146,0.49999999999999994,0.8660254037844387,408.36
2020-02-15 03:00:00,2.3,408.36,0.8660254037844386,0.5000000000000001,-0.9749279121818236,-0.2225209339563146,0.7071067811865476,0.7071067811865476,400.06
